gene
NANOG
POU5F1
DNMT3B
NODAL
PCP4
MIXL1
FOXF1
DLL1
NOTCH1
BMP4
CITED1
GDNF
GFRA1
BTC
LAMA5
CTGF
MAFB
NPHS1
NPHS2
PTPRO
SPOCK2
SYNPO
CLIC5
LMX1B
