PF4
EGF17
MYH11
PMEL
CD24
EPCAM
CDH1
MYL9
PODXL
HMX2
NES
VAV2
KRT18
MYC
LIN28A
ACTG2
FOXA3
FGF2
KDR
FOXA2
CALB1
NANOG
MT1H
MT1G
POU5F1
SOX2
AFP
DNMT3B
FLT1
NODAL
CLDN6
RET
HES6
APOE
TUBB2B
POLR1B
ABCF1
HPRT1
H2-AA
ACAT2
KPNA2
AGT
HOPX
ACTA2
LDHA
HDC
HOXC6
FOXF1
TBX6
PCP4
MIXL1
T
WNT8A
TRPC5
DCT
UMOD
CUBN
SLC12A3
KIAA0101
PARAXIS
C1QB
CAR1
SOX17
SLC34A1
R3HDML
WNT9B
FABP4
SLC4A1
CD34
S100G
CNTNAP2
EOMES
C1QC
AQP2
C1QA
ANLN
TUBA1B
UBE2C
KAP
RPLP0
DLL1
RAC1
RHOA
NOTCH1
REN
BMP4
CENPF
CITED1
MEIS1/2/3
HMGB2
ISL1
POU3F2
GDNF
TOP2A
CTNNB1
G6PD
GFRA1
HSD11B2
AXIN2
FGB
ATP6V1G3
SPINK3
FGF10
ALDOB
APOL1
CDH5
COL4A3
KLF4
KRT8
SPP1
ACTN4
ALCAM
SFRP2
CLDN7
RASL11A
CRYM
FGF8
WFDC2
HNF1B
DKK1
SOSTDC1
VEGFA
AGTR1
FAM132A
ARHGAP24
EMCN
TMEM52B
DKK2
GUSB
TRPC6
AQP4
MLANA
CALD1
CD2AP
PENK
SPOCK2
CD44
CRABP1
PECAM1
COL4A4
SLC3A1
NEUROD1
SLC26A7
NUPR1
LRP2
DCN
MGP
CTGF
ACE
LAMA5
MEOX2
NEFM
BTC
CLDN10
COL1A2
IGFBP5
MAL
COL3A1
LGALS1
AQP3
COL1A1
STMN2
DEFB1
NPHS2
PTPRO
FXYD2
PTN
CLIC5
SCRG1
MAFB
NPHS1
WNT2B
ATP1B1
RGS5
SYNPO
CLDN4
LHX9
EGFR
PDZK1
LMX1B
ALDH1A2
SMAD3
SCG2
TLR4
GATA3
MYLK
GNG11
SLC8A1
TUBB4B
HOXA11
LYPD1
COL4A1
HEY1
BMPR1A
CCND1
JAG1
EMX2
PAX2
BMP7
MECOM
COL4A5
CDKN1C
ITGB1
CDC42
TGFBI
ACVR1B
SPRY1
MYH9
CDK2
HOXB7
NOTCH2
NRP
PAX8
LHX1
SMAD2
SIX2
ATOH8
CD74
APC
WT1
PLAT
SNAP
COL2A1
HOXD11
OSR1
CDH2
CXX1C
SMAD1
